Year,Total Games,Median Score,Transitions,Killscreens,Level 39s,Transition %,Killscreen %,Level 39%,Average Score,Average Win,Average Loss,Median Lines,Average Lines,Median 19 Trans,Median 29 Trans
2025,356,1028918.5,325,242,11,0.9129213483,0.6797752809,0.0308988764,986860.0618,1046002.629,927717.4944,245.0,233.3096591,544600.0,1031520.0
2024,354,1000380.0,318,217,8,0.8983050847,0.6129943503,0.02259887006,938261.6384,988379.2429,888144.0339,238.0,221.4350282,545740.0,1032700.0
2023,354,928482.5,304,189,6,0.8587570621,0.5338983051,0.01694915254,848542.2797,895591.9153,801492.6441,231.0,205.0141243,543010.5,1024623.0
2022,346,827740.5,279,140,9,0.8063583815,0.4046242775,0.02601156069,772039.3988,815681.3006,728397.4971,212.5,190.8092486,543231.0,1023210.0
2021,984,754400.0,777,281,2,0.7896341463,0.2855691057,0.002032520325,709364.6982,762504.2866,656225.1098,192.0,175.3747454,525220.0,1001400.0
2020,940,603861.5,705,154,0,0.75,0.1638297872,0.0,589328.2128,639834.8681,538821.5574,167.0,158.493617,501260.0,971082.5
2019,256,472160.0,163,15,0,0.63671875,0.05859375,0.0,452803.4453,482003.6172,423603.2734,147.0,136.4101563,466740.0,815180.0
2018,174,466290.0,113,15,0,0.6494252874,0.08620689655,0.0,454546.5862,490051.4483,419041.7241,148.0,142.4425287,445088.0,833680.0
2017,98,454542.0,66,4,0,0.6734693878,0.04081632653,0.0,426312.9898,456606.9388,396019.0408,144.0,139.8979592,428906.0,732534.0
2016,90,475635.5,66,3,0,0.7333333333,0.03333333333,0.0,447940.4444,484218.6,411662.2889,157.0,151.8641975,446471.5,724609.0
2015,90,439821.5,63,4,0,0.7,0.04444444444,0.0,401544.1667,430315.7333,372772.6,148.0,139.3444444,426948.0,661663.0
2014,50,463820.0,35,1,0,0.7,0.02,0.0,446120.76,487526.76,404714.76,164.0,153.4042553,424530.0,601476.0
2013,40,471690.0,32,2,0,0.8,0.05,0.0,431044.525,456527.1,405561.95,163.0,152.775,426937.0,674729.0
2012,34,439706.5,21,1,0,0.6176470588,0.02941176471,0.0,381519.1471,433596.9412,329441.3529,181.0,150.9117647,410267.0,660325.0
