year,stream_date,channel_name,stream_title,duration,duration_minutes,avg_viewers,peak_viewers,hours_watched,followers_gained,views_gained,source_stream_id,twitchtracker_url
2017,2017-10-21,classictetris,2017 Classic Tetris World Championship Qualifying Rounds,6h17m,377,330,411,2073,121,4292.0,26538549600,https://twitchtracker.com/classictetris/streams/26538549600
2017,2017-10-22,classictetris,2017 Classic Tetris World Championship,7h19m,439,1121,1790,8201,358,11362.0,26546739632,https://twitchtracker.com/classictetris/streams/26546739632
2018,2018-10-20,classictetris,2018 Classic Tetris World Championship Opening Day,3h19m,199,254,425,842,54,1169.0,30847269424,https://twitchtracker.com/classictetris/streams/30847269424
2018,2018-10-20,classictetris,2018 Classic Tetris World Championship Day 2,7h35m,455,1052,1589,7977,347,15216.0,30858710656,https://twitchtracker.com/classictetris/streams/30858710656
2018,2018-10-21,classictetris,2018 Classic Tetris World Championship Day 3,6h56m,416,6926,24706,48020,2058,213389.0,30874738064,https://twitchtracker.com/classictetris/streams/30874738064
2019,2019-10-18,classictetris,"CTWC 2019 - Tetris Speedrun @ 3pm, Dr. Mario @ 4pm",5h19m,319,3244,10820,17247,514,308406.0,36006981216,https://twitchtracker.com/classictetris/streams/36006981216
2019,2019-10-18,classictetris2,2019 CTWC Mindmeld,3h37m,217,281,480,1016,285,1400.0,36007333632,https://twitchtracker.com/classictetris2/streams/36007333632
2019,2019-10-19,classictetris,"CTWC 2019 - Tetris Speedrun @ 3pm, Dr. Mario @ 4pm",8h31m,511,2829,4743,24093,1186,89124.0,36014931744,https://twitchtracker.com/classictetris/streams/36014931744
2019,2019-10-19,classictetris2,2019 CTWC Side Station Qualifying,7h37m,457,372,1456,2833,355,3281.0,36015285056,https://twitchtracker.com/classictetris2/streams/36015285056
2019,2019-10-20,classictetris,CTWC 2019 - Top 32 and 16@10AM PST - Top 8 at 2PM PST - Finals at 5PM PST,8h3m,483,9259,17554,74534,2954,337915.0,36024688528,https://twitchtracker.com/classictetris/streams/36024688528
2019,2019-10-20,classictetris2,2019 CTWC Round 1 - Side Station,3h16m,196,1551,2365,5066,433,4540.0,36024742640,https://twitchtracker.com/classictetris2/streams/36024742640
2020,2020-10-13,classictetris,2020 CTWC Qualifying Spotlight,2h26m,146,243,280,591,30,833.0,40073424366,https://twitchtracker.com/classictetris/streams/40073424366
2020,2020-10-14,classictetris,2020 CTWC Qualifying Spotlight,9h2m,542,291,378,2628,65,2603.0,40084340654,https://twitchtracker.com/classictetris/streams/40084340654
2020,2020-10-15,classictetris,2020 CTWC Qualifying Spotlight,5h6m,306,351,463,1790,58,1509.0,39675506236,https://twitchtracker.com/classictetris/streams/39675506236
2020,2020-10-15,classictetris,2020 CTWC Qualifying Spotlight /w ForystChris,8h51m,531,323,465,2858,102,2948.0,40096598638,https://twitchtracker.com/classictetris/streams/40096598638
2020,2020-10-16,classictetris,2020 CTWC Qualifying Spotlight /w ForystChris | 64 players get in | !scores !music !schedule !joseph,18h3m,1083,488,1030,8808,164,7015.0,39684205900,https://twitchtracker.com/classictetris/streams/39684205900
