year,round,match_id,game_id,game,player,won,playstyle,final_score,total_lines,no_mullen_score,no_mullen_lines,score_lvl_19_transition,lines_lvl_19_transition,score_lvl_29_transition,lines_lvl_29_transition,score_lvl_39_transition,lines_lvl_39_transition,topout_type,start_level,line_cap,same_piece_sets_active,post,post_post,game_link,twitch,youtube,country_code,country_name
2010,Finals,1,1,1,Jonas,Yes,DAS,530034,195,339042,135,522034,190,NULL,NULL,NULL,NULL,Natural,9,NULL,No,NULL,NULL,https://youtu.be/ZL4eRDOOP1I?t=24,https://www.twitch.tv/nubbinsgoody,https://www.youtube.com/@JonasTeh81,USA,"United States"
2010,Finals,1,2,1,"Harry Hong",No,DAS,302118,133,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Natural,9,NULL,No,NULL,NULL,https://youtu.be/ZL4eRDOOP1I?t=24,https://www.twitch.tv/supasayajin,https://www.youtube.com/@SuPaSaYaJiN,USA,"United States"
2010,Finals,1,3,2,Jonas,Yes,DAS,544534,245,542531,243,443999,192,NULL,NULL,NULL,NULL,Intentional,9,NULL,No,NULL,NULL,https://youtu.be/ZL4eRDOOP1I?t=595,https://www.twitch.tv/nubbinsgoody,https://www.youtube.com/@JonasTeh81,USA,"United States"
2010,Finals,1,4,2,"Harry Hong",No,DAS,517590,227,NULL,NULL,483111,191,NULL,NULL,NULL,NULL,Natural,9,NULL,No,NULL,NULL,https://youtu.be/ZL4eRDOOP1I?t=595,https://www.twitch.tv/supasayajin,https://www.youtube.com/@SuPaSaYaJiN,USA,"United States"
2011,"Top 8",2,5,1,Jonas,Yes,DAS,164153,55,164153,55,NULL,NULL,NULL,NULL,NULL,NULL,Intentional,18,NULL,No,NULL,NULL,https://youtu.be/8sorxlk7QLs?t=14,https://www.twitch.tv/nubbinsgoody,https://www.youtube.com/@JonasTeh81,USA,"United States"
2011,"Top 8",2,6,1,"Eli Markstrom",No,DAS,117378,43,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Natural,18,NULL,No,NULL,NULL,https://youtu.be/8sorxlk7QLs?t=14,https://www.twitch.tv/elijahn5,https://www.youtube.com/@elijahn5,USA,"United States"
2011,"Top 8",2,7,2,Jonas,Yes,DAS,472503,136,472503,136,468503,132,NULL,NULL,NULL,NULL,Intentional,18,NULL,No,4000,NULL,https://youtu.be/8sorxlk7QLs?t=196,https://www.twitch.tv/nubbinsgoody,https://www.youtube.com/@JonasTeh81,USA,"United States"
2011,"Top 8",2,8,2,"Eli Markstrom",No,DAS,350279,126,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Natural,18,NULL,No,NULL,NULL,https://youtu.be/8sorxlk7QLs?t=196,https://www.twitch.tv/elijahn5,https://www.youtube.com/@elijahn5,USA,"United States"
2011,"Top 8",3,9,1,"Robin Mihara",Yes,DAS,43961,21,43961,21,NULL,NULL,NULL,NULL,NULL,NULL,Intentional,18,NULL,No,NULL,NULL,https://youtu.be/jeelo1C0Y68?t=113,https://www.twitch.tv/tetrismattress,https://www.youtube.com/@robinmihara2418,USA,"United States"
2011,"Top 8",3,10,1,"Ben Mullen",No,DAS,30157,13,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Natural,18,NULL,No,NULL,NULL,https://youtu.be/jeelo1C0Y68?t=113,https://www.twitch.tv/benmullen297,https://www.youtube.com/@benmullen295,USA,"United States"
