year,total_game_rows,distinct_players,avg_final_score,avg_total_lines,avg_start_level,min_start_level,max_start_level,games_with_19_transition,games_with_29_transition,games_with_39_transition,games_with_no_mullen_score,das_games,tap_games,roll_games,finals_games,gf_games,gfbr_games,lf_games,lq_games,ls_games,semis_games,top16_games,top32_games,top64_games,top8_games,wf_games,wq_games,ws_games
2010,4,2,473569.0000,200.0000,9.0000,9,9,3,0,0,2,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,32,8,301114.0000,102.1563,18.0000,18,18,14,0,0,16,32,0,0,4,0,0,0,0,0,10,0,0,0,18,0,0,0
2012,34,8,381519.1471,150.9118,15.0588,9,18,21,1,0,17,34,0,0,6,0,0,0,0,0,10,0,0,0,18,0,0,0
2013,40,8,431044.5250,152.7750,17.5000,13,18,31,2,0,20,40,0,0,10,0,0,0,0,0,8,0,0,0,22,0,0,0
2014,50,11,446120.7600,153.4043,18.0000,18,18,33,1,0,25,50,0,0,8,0,0,0,0,0,8,10,4,0,20,0,0,0
2015,90,22,401544.1667,139.3444,17.3333,9,18,63,4,0,45,90,0,0,8,0,0,0,0,0,10,20,34,0,18,0,0,0
2016,90,22,447940.4444,151.8642,17.8000,15,18,68,3,0,45,82,8,0,8,0,0,0,0,0,10,18,34,0,20,0,0,0
2017,98,24,426312.9898,139.8980,17.8776,15,18,65,4,0,46,95,3,0,6,0,0,0,0,0,10,26,34,0,22,0,0,0
2018,174,40,454546.5862,142.4425,17.8621,15,18,113,15,0,86,152,22,0,6,0,0,0,0,0,12,34,70,34,18,0,0,0
2019,256,48,452803.4453,136.4102,17.9531,15,18,163,15,0,127,201,55,0,10,0,0,0,0,0,16,34,84,78,34,0,0,0
2020,940,64,589328.2128,158.4936,18.0000,18,18,705,150,0,468,261,679,0,10,62,16,60,246,64,16,0,0,0,32,66,250,118
2021,984,64,709364.6982,175.3747,18.0000,18,18,776,267,0,487,62,751,171,8,66,18,64,256,62,18,0,0,0,30,64,264,134
2022,346,48,772039.3988,190.8092,18.0000,18,18,279,140,9,169,43,104,199,8,0,0,0,0,0,14,58,102,140,24,0,0,0
2023,354,48,848542.2797,205.0141,18.0000,18,18,304,187,6,171,14,42,298,10,0,0,0,0,0,14,64,122,116,28,0,0,0
2024,354,48,938261.6384,221.4350,18.0000,18,18,318,213,7,174,1,43,310,10,0,0,0,0,0,16,56,110,132,30,0,0,0
2025,356,48,986860.0618,233.3097,18.0000,18,18,327,243,10,175,4,14,338,6,0,0,0,0,0,12,62,118,126,32,0,0,0
