year,total_game_rows,distinct_players,avg_final_score,avg_total_lines,avg_start_level,min_start_level,max_start_level,games_with_19_transition,games_with_29_transition,games_with_39_transition,games_with_no_mullen_score,das_games,tap_games,roll_games,finals_games,gf_games,gfbr_games,lf_games,lq_games,ls_games,semis_games,top16_games,top32_games,top64_games,top8_games,wf_games,wq_games,ws_games,total_stream_rows,distinct_channels,total_duration_minutes,avg_duration_minutes,avg_avg_viewers,max_peak_viewers,avg_peak_viewers,total_hours_watched,total_followers_gained,total_views_gained,year_stats_total_games,median_score,transitions,killscreens,level_39s,transition_pct,killscreen_pct,level_39_pct,average_score,average_win,average_loss,median_lines,average_lines,median_19_trans,median_29_trans
2010,4,2,473569.0000,200.0000,9.0000,9,9,3,0,0,2,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2011,32,8,301114.0000,102.1563,18.0000,18,18,14,0,0,16,32,0,0,4,0,0,0,0,0,10,0,0,0,18,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2012,34,8,381519.1471,150.9118,15.0588,9,18,21,1,0,17,34,0,0,6,0,0,0,0,0,10,0,0,0,18,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,34,439706.5,21,1,0,0.61764705880,0.02941176471,0.000000000000,381519.1471,433596.9412,329441.3529,181.0,150.9117647,410267.0,660325.0
2013,40,8,431044.5250,152.7750,17.5000,13,18,31,2,0,20,40,0,0,10,0,0,0,0,0,8,0,0,0,22,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,40,471690.0,32,2,0,0.80000000000,0.05000000000,0.000000000000,431044.5250,456527.1000,405561.9500,163.0,152.7750000,426937.0,674729.0
2014,50,11,446120.7600,153.4043,18.0000,18,18,33,1,0,25,50,0,0,8,0,0,0,0,0,8,10,4,0,20,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,50,463820.0,35,1,0,0.70000000000,0.02000000000,0.000000000000,446120.7600,487526.7600,404714.7600,164.0,153.4042553,424530.0,601476.0
2015,90,22,401544.1667,139.3444,17.3333,9,18,63,4,0,45,90,0,0,8,0,0,0,0,0,10,20,34,0,18,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,90,439821.5,63,4,0,0.70000000000,0.04444444444,0.000000000000,401544.1667,430315.7333,372772.6000,148.0,139.3444444,426948.0,661663.0
2016,90,22,447940.4444,151.8642,17.8000,15,18,68,3,0,45,82,8,0,8,0,0,0,0,0,10,18,34,0,20,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,90,475635.5,66,3,0,0.73333333330,0.03333333333,0.000000000000,447940.4444,484218.6000,411662.2889,157.0,151.8641975,446471.5,724609.0
2017,98,24,426312.9898,139.8980,17.8776,15,18,65,4,0,46,95,3,0,6,0,0,0,0,0,10,26,34,0,22,0,0,0,2,1,816,408.0000,725.5000,1790,1100.5000,10274.00,479,15654,98,454542.0,66,4,0,0.67346938780,0.04081632653,0.000000000000,426312.9898,456606.9388,396019.0408,144.0,139.8979592,428906.0,732534.0
2018,174,40,454546.5862,142.4425,17.8621,15,18,113,15,0,86,152,22,0,6,0,0,0,0,0,12,34,70,34,18,0,0,0,3,1,1070,356.6667,2744.0000,24706,8906.6667,56839.00,2459,229774,174,466290.0,113,15,0,0.64942528740,0.08620689655,0.000000000000,454546.5862,490051.4483,419041.7241,148.0,142.4425287,445088.0,833680.0
2019,256,48,452803.4453,136.4102,17.9531,15,18,163,15,0,127,201,55,0,10,0,0,0,0,0,16,34,84,78,34,0,0,0,6,2,2183,363.8333,2922.6667,17554,6236.3333,124789.00,5727,744666,256,472160.0,163,15,0,0.63671875000,0.05859375000,0.000000000000,452803.4453,482003.6172,423603.2734,147.0,136.4101563,466740.0,815180.0
2020,940,64,589328.2128,158.4936,18.0000,18,18,705,150,0,468,261,679,0,10,62,16,60,246,64,16,0,0,0,32,66,250,118,20,3,10069,503.4500,2113.7000,35364,5505.6500,393904.00,8285,2677306,940,603861.5,705,154,0,0.75000000000,0.16382978720,0.000000000000,589328.2128,639834.8681,538821.5574,167.0,158.4936170,501260.0,971082.5
2021,984,64,709364.6982,175.3747,18.0000,18,18,776,267,0,487,62,751,171,8,66,18,64,256,62,18,0,0,0,30,64,264,134,32,7,15061,470.6563,1217.9063,19151,3510.0625,316264.00,3932,1547062,984,754400.0,777,281,2,0.78963414630,0.28556910570,0.002032520325,709364.6982,762504.2866,656225.1098,192.0,175.3747454,525220.0,1001400.0
2022,346,48,772039.3988,190.8092,18.0000,18,18,279,140,9,169,43,104,199,8,0,0,0,0,0,14,58,102,140,24,0,0,0,16,6,6329,395.5625,594.5625,6232,1038.6250,67273.00,1595,NULL,346,827740.5,279,140,9,0.80635838150,0.40462427750,0.026011560690,772039.3988,815681.3006,728397.4971,212.5,190.8092486,543231.0,1023210.0
2023,354,48,848542.2797,205.0141,18.0000,18,18,304,187,6,171,14,42,298,10,0,0,0,0,0,14,64,122,116,28,0,0,0,13,5,5717,439.7692,619.3077,4471,953.6923,59005.00,1047,NULL,354,928482.5,304,189,6,0.85875706210,0.53389830510,0.016949152540,848542.2797,895591.9153,801492.6441,231.0,205.0141243,543010.5,1024623.0
2024,354,48,938261.6384,221.4350,18.0000,18,18,318,213,7,174,1,43,310,10,0,0,0,0,0,16,56,110,132,30,0,0,0,18,7,7341,407.8333,517.0000,6068,798.1667,78700.00,2657,NULL,354,1000380.0,318,217,8,0.89830508470,0.61299435030,0.022598870060,938261.6384,988379.2429,888144.0339,238.0,221.4350282,545740.0,1032700.0
2025,356,48,986860.0618,233.3097,18.0000,18,18,327,243,10,175,4,14,338,6,0,0,0,0,0,12,62,118,126,32,0,0,0,20,7,7731,386.5500,399.4000,3329,653.0500,48285.00,1096,NULL,356,1028918.5,325,242,11,0.91292134830,0.67977528090,0.030898876400,986860.0618,1046002.6290,927717.4944,245.0,233.3096591,544600.0,1031520.0
