year,stream_date,stream_title,duration,avg_viewers,peak_viewers,hours_watched,followers_gained,views_gained,twitchtracker_url
2017,2017-10-22,2017 Classic Tetris World Championship,7h19m,1121,1790,8201,358,11362,https://twitchtracker.com/classictetris/streams/26546739632
2018,2018-10-21,2018 Classic Tetris World Championship Day 3,6h56m,6926,24706,48020,2058,213389,https://twitchtracker.com/classictetris/streams/30874738064
2019,2019-10-20,CTWC 2019 - Top 32 and 16@10AM PST - Top 8 at 2PM PST - Finals at 5PM PST,8h3m,9259,17554,74534,2954,337915,https://twitchtracker.com/classictetris/streams/36024688528
2020,2020-10-31,2020 CTWC - GROUP B with Chris Tang and Vandweller,8h40m,3239,8074,28071,509,141784,https://twitchtracker.com/classictetris/streams/40295577518
2020,2020-11-01,CTWC 2020 - Group E Bracket /w Vandweller and Chris Tang!,7h36m,4362,17621,33151,711,211786,https://twitchtracker.com/classictetris/streams/40309358270
2020,2020-11-07,CTWC 2020 - Group C Bracket /w Vandweller and Chris Tang!,7h4m,8373,26673,59169,801,642757,https://twitchtracker.com/classictetris/streams/40385197198
2020,2020-11-08,CTWC 2020 - Group A Bracket /w Vandweller and Chris Tang!,7h44m,3940,9250,30469,577,122619,https://twitchtracker.com/classictetris/streams/40399634862
2020,2020-11-21,CTWC Silver Bracket Round 1 and Round 2,6h50m,643,823,4393,88,4004,https://twitchtracker.com/classictetris/streams/40611164414
2020,2020-11-22,CTWC Silver Bracket Top 8!,3h38m,746,1045,2710,74,2341,https://twitchtracker.com/classictetris/streams/40633164606
2020,2020-12-06,Tetris Effect: Connected Launch Invitational REPLAY,12h32m,13575,35364,170140,3481,1501047,https://twitchtracker.com/classictetris/streams/40843361694
2021,2021-10-08,CTWC 2021 Clash | !merch,5h45m,386,557,2219,40,1844,https://twitchtracker.com/classictetris/streams/43478815164
2021,2021-10-09,CTWC 2021 || Group A || !bracket !merch,7h12m,1678,2348,12081,97,7578,https://twitchtracker.com/classictetris/streams/44012376957
2021,2021-10-10,CTWC 2021 || Group C || !bracket !merch !sponsor,8h9m,1519,2280,12379,90,8661,https://twitchtracker.com/classictetris/streams/44025318701
2021,2021-10-16,CTWC 2021 || Group E || !bracket !merch !sponsor,7h55m,2167,3136,17155,144,21127,https://twitchtracker.com/classictetris/streams/44076596813
2021,2021-10-17,CTWC 2021 || Group G || !bracket !merch !sponsor,8h42m,1655,2375,14398,166,10056,https://twitchtracker.com/classictetris/streams/44096794733
2021,2021-10-23,CTWC 2021 || Silver Bracket Day 1 || !bracket !merch !sponsor,8h21m,1993,11558,16641,142,104103,https://twitchtracker.com/classictetris/streams/40107692507
2021,2021-10-24,CTWC 2021 || Silver Bracket Top 8 || !bracket !merch !sponsor,5h13m,4907,17213,25598,232,255881,https://twitchtracker.com/classictetris/streams/44178106445
2021,2021-11-14,2021 CTWC || Main Event (Top 8) || !bracket !merch !sponsor,12h11m,4304,7499,52437,821,41769,https://twitchtracker.com/classictetris/streams/44421130157
2022,2022-10-15,CTWC 2022 Day 2,6h18m,1963,2555,12366,94,,https://twitchtracker.com/classictetris/streams/41394266443
2022,2022-10-16,CTWC 2022 Day 3 - Gold Bracket Finals,7h42m,3859,6232,29714,466,,https://twitchtracker.com/classictetris/streams/41397993435
2023,2023-10-13,CTWC 2023 Day 1: Qualifying | !qual !squad !jersey !matcherino,9h26m,869,1109,8197,94,,https://twitchtracker.com/classictetris/streams/49484154941
2023,2023-10-14,CTWC 2023 Day 2: Final Quals, Gold Bracket | !qual !squad !jersey !matcherino,7h27m,1431,2228,10660,105,https://twitchtracker.com/classictetris/streams/49489971261
2023,2023-10-15,CTWC 2023 Day 2: Gold Bracket Top 32 | !qual !squad !jersey !matcherino,4h50m,1238,1637,5983,55,,https://twitchtracker.com/classictetris/streams/49493489101
2023,2023-10-15,CTWC 2023 Day 3: Gold Bracket FINAL | !bracket !squad !jersey !matcherino,8h18m,3048,4471,25298,224,,https://twitchtracker.com/classictetris/streams/49497856333
2024,2024-06-07,Classic Tetris World Championship XV - Day 1 Qualifying,7h16m,1206,1641,8763,249,,https://twitchtracker.com/classictetris/streams/44313749995
2024,2024-06-08,Classic Tetris World Championship XV - Day 2 Tournament Begins!,10h35m,1784,2338,18880,359,,https://twitchtracker.com/classictetris/streams/51272529053
2024,2024-06-09,Classic Tetris World Championship XV - Day 3 Finals,9h40m,3897,6068,37671,1147,,https://twitchtracker.com/classictetris/streams/44319075547
2025,2025-06-06,CLASSIC TETRIS WORLD CHAMPIONSHIP DAY 1 | QUALIFYING | !MATCHERINO !QUAL !SU2C !DONATE,10h21m,612,854,6334,74,,https://twitchtracker.com/classictetris/streams/322188826620
2025,2025-06-07,CLASSIC TETRIS WORLD CHAMPIONSHIP DAY 2 | QUALS & BRACKET PLAY | !MATCHERINO !BRACKET !QUAL !SU2C !DONATE,4h5m,810,1035,3307,27,,https://twitchtracker.com/classictetris/streams/322247914876
2025,2025-06-07,CLASSIC TETRIS WORLD CHAMPIONSHIP | !MATCHERINO !QUAL !BRACKET !SU2C !DONATE,7h,1084,1309,7588,67,,https://twitchtracker.com/classictetris/streams/325753363197
2025,2025-06-08,CLASSIC TETRIS WORLD CHAMPIONSHIP DAY 3 | CHAMPIONSHIP SUNDAY | !MATCHERINO !BRACKET !SU2C !DONATE,2h24m,1392,1892,3340,51,,https://twitchtracker.com/classictetris/streams/322320461948
2025,2025-06-08,CLASSIC TETRIS WORLD CHAMPIONSHIP | !MATCHERINO !QUAL !BRACKET !SU2C !DONATE,6h20m,2483,3329,15725,269,,https://twitchtracker.com/classictetris/streams/322392046194
2022,2022-10-14,CTWC 2022 Qualifying Day,11h36m,1119,2698,12980,146,,https://twitchtracker.com/classictetris/streams/41379437635
2021,2021-09-30,CTWC 2021 || Qualification Showcase || !qual !merch,2h13m,272,391,602,-2,444,https://twitchtracker.com/classictetris/streams/43894641981
2021,2021-09-30,CTWC 2021 || Qualification Showcase || !qual !merch,15h5m,462,644,6968,29,6484,https://twitchtracker.com/classictetris/streams/43895833869
2021,2021-09-30,CTWC 2021 || Qualification Showcase || !qual !merch,1h50m,147,181,269,3,272,https://twitchtracker.com/classictetris/streams/43892927741
2021,2021-10-01,CTWC 2021 || Qualification Showcase || !qual !merch,8h55m,474,734,4226,12,3373,https://twitchtracker.com/classictetris/streams/43906791965
2021,2021-10-01,"CTWC 2021 || Qualification Showcase || !qual !merch || A = 10",8h34m,522,723,4471,31,3471,https://twitchtracker.com/classictetris/streams/43911726573
2021,2021-10-02,"CTWC 2021 || Qualification Showcase || !qual !merch || A = 10, B = 11, C = 12",17h40m,776,1236,13709,83,8113,https://twitchtracker.com/classictetris/streams/43919781933
2021,2021-10-03,"CTWC 2021 || Qualification Showcase || !qual !merch || A = 10, B = 11, C = 12",20h32m,706,1546,14496,109,11001,https://twitchtracker.com/classictetris/streams/43933674797
2020,2020-10-13,2020 CTWC Qualifying Spotlight,2h26m,243,280,591,30,833,https://twitchtracker.com/classictetris/streams/40073424366
2020,2020-10-14,2020 CTWC Qualifying Spotlight,9h2m,291,378,2628,65,2603,https://twitchtracker.com/classictetris/streams/40084340654
2020,2020-10-15,2020 CTWC Qualifying Spotlight,5h6m,351,463,1790,58,1509,https://twitchtracker.com/classictetris/streams/39675506236
2020,2020-10-15,2020 CTWC Qualifying Spotlight /w ForystChris,8h51m,323,465,2858,102,2948,https://twitchtracker.com/classictetris/streams/40096598638
2020,2020-10-16,2020 CTWC Qualifying Spotlight /w ForystChris | 64 players get in | !scores !music !schedule !joseph,18h3m,488,1030,8808,164,7015,https://twitchtracker.com/classictetris/streams/39684205900
2020,2020-10-17,2020 CTWC Qualifying Spotlight /w ForystChris | 64 players get in | !scores !music !schedule !joseph,6h40m,401,590,2673,54,2469,https://twitchtracker.com/classictetris/streams/39693770908
2020,2020-10-17,2020 CTWC Qualifying Spotlight | 64 players get in | !scores !music !schedule !joseph,12h31m,595,804,7447,121,4726,https://twitchtracker.com/classictetris/streams/40123581534
2020,2020-10-18,2020 CTWC Qualifying Spotlight | 64 players get in | !scores !music !schedule !joseph,13h29m,642,965,8656,99,6542,https://twitchtracker.com/classictetris/streams/39704422444
2019,2019-10-18,"CTWC 2019 - Tetris Speedrun @ 3pm, Dr. Mario @ 4pm",5h19m,3244,10820,17247,514,308406,https://twitchtracker.com/classictetris/streams/36006981216
2019,2019-10-19,"CTWC 2019 - Tetris Speedrun @ 3pm, Dr. Mario @ 4pm",8h31m,2829,4743,24093,1186,89124,https://twitchtracker.com/classictetris/streams/36014931744
2018,2018-10-20,2018 Classic Tetris World Championship Day 2,7h35m,1052,1589,7977,347,15216,https://twitchtracker.com/classictetris/streams/30858710656
2018,2018-10-20,2018 Classic Tetris World Championship Opening Day,3h19m,254,425,842,54,1169,https://twitchtracker.com/classictetris/streams/30847269424
2017,2017-10-21,2017 Classic Tetris World Championship Qualifying Rounds,6h17m,330,411,2073,121,4292,https://twitchtracker.com/classictetris/streams/26538549600
2019,2019-10-18,2019 CTWC Mindmeld,3h37m,281,480,1016,285,1400,https://twitchtracker.com/classictetris2/streams/36007333632
2019,2019-10-19,2019 CTWC Side Station Qualifying,7h37m,372,1456,2833,355,3281,https://twitchtracker.com/classictetris2/streams/36015285056
2019,2019-10-20,2019 CTWC Round 1 - Side Station,3h16m,1551,2365,5066,433,4540,https://twitchtracker.com/classictetris2/streams/36024742640
2020,2020-10-31,CTWC 2020 Group F Top 64,7h23m,931,1375,6873,526,4293,https://twitchtracker.com/classictetris2/streams/39626849917
2020,2020-11-01,CTWC 2020 Group G Top 64,7h30m,827,1470,6202,256,5336,https://twitchtracker.com/classictetris2/streams/39633220781
2020,2020-11-07,CTWC 2020 Group H Top 64,7h11m,1093,1565,7851,305,5406,https://twitchtracker.com/classictetris2/streams/39669520429
2020,2020-11-08,CTWC 2020 Group D Top 64,7h47m,1182,1822,9199,246,7122,https://twitchtracker.com/classictetris2/streams/39675606157
2021,2021-10-24,CTWC 2021 || Bronze Bracket Day 1 || !bracket !merch !sponsor,6h12m,4605,19151,28551,212,403867,https://twitchtracker.com/classictetris2/streams/43615502540
2021,2021-10-23,CTWC 2021 || Bronze Bracket Day 1 || !bracket !merch !sponsor,6h9m,3877,16721,23843,140,276301,https://twitchtracker.com/classictetris2/streams/43605961036
2021,2021-10-17,CTWC 2021 || Group F || !bracket !merch !sponsor,7h24m,2881,15326,21319,276,263765,https://twitchtracker.com/classictetris2/streams/43555219372
2021,2021-10-16,CTWC 2021 || Group F || !bracket !merch !sponsor,7h34m,1214,2139,9185,136,7184,https://twitchtracker.com/classictetris2/streams/43545685740
2021,2021-10-10,CTWC 2021 || Group D || !bracket !merch,7h56m,1423,2030,11289,313,6912,https://twitchtracker.com/classictetris2/streams/44024795069
2021,2021-10-09,CTWC 2021 || Group B || !merch,9h32m,1227,1931,11697,416,8229,https://twitchtracker.com/classictetris2/streams/44011798637
2021,2021-10-03,CTWC 2021 || Qualification Showcase || !qual !merch,10h8m,214,343,2168,82,2119,https://twitchtracker.com/classictetris2/streams/43936783597
2021,2021-10-03,"CTWC 2021 || Qualification Showcase || !qual !merch",4h38m,154,209,713,20,563,https://twitchtracker.com/classictetris2/streams/43926722685
2021,2021-10-01,"CTWC 2021 || Qualification Showcase || !qual !merch",2h31m,177,232,445,25,303,https://twitchtracker.com/classictetris2/streams/43909018365
2022,2022-10-16,"CTWC 2022 Day 3 - Gold Bracket Finals",2h43m,810,1546,2200,75,,https://twitchtracker.com/classictetris2/streams/41397896427
2022,2022-10-15,"CTWC 2022 Day 2",5h52m,608,971,3566,90,,https://twitchtracker.com/classictetris2/streams/41394282155
2022,2022-10-14,"CTWC 2022 Qualifying Day",11h31m,262,409,3017,79,,https://twitchtracker.com/classictetris2/streams/41389664251
2023,2023-10-15,"CTWC 2023 Day 3: Gold Bracket Top 8 EN ESPAÑOL | !jersey !bracket !matcherino",5h40m,45,74,255,10,,https://twitchtracker.com/classictetris2/streams/42916729323
2023,2023-10-14,"CTWC 2023 Day 2: Final Quals, Gold Bracket | !qual !jersey !matcherino",9h53m,375,729,3706,114,,https://twitchtracker.com/classictetris2/streams/42910549195
2023,2023-10-13,"CTWC 2023 Day 1: Qualifying | !qual !jersey !matcherino",9h36m,176,370,1689,82,,https://twitchtracker.com/classictetris2/streams/42906022571
2024,2024-06-09,"Classic Tetris World Championship | CTWC 2024 | Top 8 en español",6h25m,43,99,275,14,,https://twitchtracker.com/classictetris2/streams/44324848123
2024,2024-06-09,"Classic Tetris World Championship | CTWC 2024 | Qualifying",2h11m,1186,2140,2589,131,,https://twitchtracker.com/classictetris2/streams/44324241355
2024,2024-06-08,"Classic Tetris World Championship | CTWC 2024 | Qualifying",10h30m,541,1078,5680,177,,https://twitchtracker.com/classictetris2/streams/44319083803
2024,2024-06-07,"Classic Tetris World Championship | CTWC 2024 | Qualifying",7h15m,260,397,1885,138,,https://twitchtracker.com/classictetris2/streams/51269295085
2025,2025-06-08,"CLASSIC TETRIS WORLD CHAMPIONSHIP DAY 3 | CHAMPIONSHIP SUNDAY | !MATCHERINO !BRACKET !SU2C !DONATE",8h45m,407,2270,3561,125,,https://twitchtracker.com/classictetris2/streams/322320483452
2025,2025-06-07,"CLASSIC TETRIS WORLD CHAMPIONSHIP | !MATCHERINO !QUAL !BRACKET !SU2C !DONATE",7h0m,335,559,2345,40,,https://twitchtracker.com/classictetris2/streams/322272347644
2025,2025-06-07,"CLASSIC TETRIS WORLD CHAMPIONSHIP DAY 2 | QUALS & BRACKET PLAY | !MATCHERINO !QUAL !BRACKET !DONATE",4h15m,188,332,799,30,,https://twitchtracker.com/classictetris2/streams/322247074172
2025,2025-06-07,"CLASSIC TETRIS WORLD CHAMPIONSHIP DAY 1 | TGM4 JPN Commentary | !MATCHERINO !QUAL !DONATE",2h9m,59,69,126,4,,https://twitchtracker.com/classictetris2/streams/325679987837
2025,2025-06-06,"CLASSIC TETRIS WORLD CHAMPIONSHIP DAY 1 | QUALIFYING | !MATCHERINO !QUAL !DONATE",7h40m,134,193,1027,38,,https://twitchtracker.com/classictetris2/streams/322188270460
2020,2020-12-06,"Grande Finale Top8 de la CTWC 2020 [French Restream]",7h46m,29,56,225,18,166,https://twitchtracker.com/classictetris3/streams/40260461436
2021,2021-11-14,"CTWC 2021 || TOP 8 || French || !bracket !merch !sponsor",9h53m,84,135,830,61,528,https://twitchtracker.com/classictetris3/streams/43813928380
2022,2022-10-16,"CTWC 2022 Silver Bracket Final Rounds",2h27m,287,741,703,68,,https://twitchtracker.com/classictetris3/streams/41398052011
2022,2022-10-15,"CTWC 2022 Silver Bracket",5h56m,109,670,646,114,,https://twitchtracker.com/classictetris3/streams/41394390699
2022,2022-10-15,"CTWC 2022 Qualifiers Group 5",2h16m,309,414,700,102,,https://twitchtracker.com/classictetris3/streams/40351909593
2022,2022-10-14,"CTWC DAS 2022 || 8ème de Finale/Top16 || Restream Francophone || !bracket !merch !sponsor",1h55m,21,32,40,25,,https://twitchtracker.com/classictetris3/streams/47303066429
2023,2023-10-15,"[日本語] CTWC 2023 Japanese Commentary | !qual !jersey !matcherino",8h6m,43,70,348,25,,https://twitchtracker.com/classictetris3/streams/40719793655
2023,2023-10-14,"CTWC 2023 Day 1: Qualifying | !qual !jersey !matcherino",9h31m,98,723,932,148,,https://twitchtracker.com/classictetris3/streams/42910552587
2023,2023-10-13,"CTWC 2023 Day 1: Qualifying | !qual !jersey !matcherino",9h6m,72,112,655,165,,https://twitchtracker.com/classictetris3/streams/42906029387
2024,2024-06-09,"[GER] Classic Tetris World Championship XV - TOP 8",6h55m,17,32,117,18,,https://twitchtracker.com/classictetris3/streams/44324777371
2024,2024-06-08,"Classic Tetris World Championship XV - Silver Bracket",8h2m,65,129,522,65,,https://twitchtracker.com/classictetris3/streams/44319403083
2024,2024-06-07,"Classic Tetris World Championship XV - Qualifying",7h15m,109,140,790,127,,https://twitchtracker.com/classictetris3/streams/44313730955
2025,2025-06-08,"Classic Tetris World Championship 2025 | Japanese (日本語) Commentary",8h36m,56,109,481,30,,https://twitchtracker.com/classictetris3/streams/322320337020
2025,2025-06-07,"CLASSIC TETRIS WORLD CHAMPIONSHIP DAY 2 | SILVER BRACKET | !MATCHERINO !BRACKET !QUAL !DONATE",11h36m,134,627,1554,114,,https://twitchtracker.com/classictetris3/streams/322246944892
2025,2025-06-06,"2025 Classic Tetris World Championship | Qualifying | Day 1 | !qual !matcherino",8h28m,83,154,702,66,,https://twitchtracker.com/classictetris3/streams/322187105020
2021,2021-11-14,"CTWC 2021 || TOP 8 || Retransmisión en español || !bracket !merch !sponsor",8h49m,766,1107,6753,108,91486,https://twitchtracker.com/classictetris4/streams/44433992733
2022,2022-10-15,"CTWC 2022 Qualifying",8h5m,65,156,525,173,,https://twitchtracker.com/classictetris4/streams/41393960043
2022,2022-10-14,"CTWC 2022 Qualifying",9h4m,32,61,290,94,,https://twitchtracker.com/classictetris4/streams/41389945115
2023,2023-10-15,"CTWC 2023 Final 8 - POLSKI KOMENTARZ",5h0m,13,21,65,2,,https://twitchtracker.com/classictetris4/streams/42916758699
2024,2024-06-10,"[粤语] Classic Tetris World Championship XV - Commentary Begins Top 4",2h19m,6,6,13,0,,https://twitchtracker.com/classictetris4/streams/42570917790
2024,2024-06-09,"[粤语] Classic Tetris World Championship XV - Commentary Begins Top 4",0h37m,6,6,3,0,,https://twitchtracker.com/classictetris4/streams/42570862782
2024,2024-06-08,"Classic Tetris World Championship XV - Bronze Bracket",8h12m,60,95,492,71,,https://twitchtracker.com/classictetris4/streams/44319402475
2024,2024-06-07,"Classic Tetris World Championship XV - Qualifying",8h15m,69,118,569,139,,https://twitchtracker.com/classictetris4/streams/44313603643
2025,2025-06-08,"CLASSIC TETRIS WORLD CHAMPIONSHIP 2025 | German (Deutsch) Commentary",5h52m,15,23,88,13,,https://twitchtracker.com/classictetris4/streams/321425766393
2025,2025-06-07,"CLASSIC TETRIS WORLD CHAMPIONSHIP DAY 2 | BRONZE BRACKET | !MATCHERINO !BRACKET !QUAL !DONATE",6h34m,86,116,564,54,,https://twitchtracker.com/classictetris4/streams/325746704381
2025,2025-06-06,"CLASSIC TETRIS WORLD CHAMPIONSHIP DAY 1 | QUALIFYING",7h46m,72,109,559,80,,https://twitchtracker.com/classictetris4/streams/322187208828
2021,2021-11-14,"CTWC 2021 || Top 8 || Portuguese || !bracket !merch !sponsor",8h23m,17,30,142,31,130,https://twitchtracker.com/classictetris5/streams/40217981291
2022,2022-10-16,"[Japanese] Classic Tetris World Championship 2022",7h51m,27,50,211,17,,https://twitchtracker.com/classictetris5/streams/39772127751
