id,stream_id,user_id,user_login,user_name,title,description,created_at,published_at,url,thumbnail_url,viewable,view_count,language,type,duration,muted_segments
2730129007,318490941147,131454884,classictetris,ClassicTetris,MONDAY NIGHT MAYHEM | HOSTED BY OMENVOIR,,2026-03-23T23:01:55Z,2026-03-23T23:01:55Z,https://www.twitch.tv/videos/2730129007,https://static-cdn.jtvnw.net/cf_vods/d1m7jfoe9zdc1j/3457bfbecc7143ed60d3_classictetris_318490941147_1774306910//thumb/thumb0-%{width}x%{height}.jpg,public,890,en,archive,2h31m33s,
2727505425,316689921765,131454884,classictetris,ClassicTetris,FRIDAY NIGHT FIGHTS  VOL. 2 EPISODE 62 | CTWC TORONTO SPECIAL | HOSTED BY BIRBWIZARD,,2026-03-20T21:57:04Z,2026-03-20T21:57:04Z,https://www.twitch.tv/videos/2727505425,https://static-cdn.jtvnw.net/cf_vods/d3fi1amfgojobc/8686cdb8c347aa5d41e2_classictetris_316689921765_1774043816//thumb/thumb1-%{width}x%{height}.jpg,public,2011,en,archive,5h25m43s,
2722223193,318150256857,131454884,classictetris,ClassicTetris,CTWC PHOENIX 2026 REGIONAL DAY 2 | QUALIFYING & TOURNAMENT | !MATCHERINO !DONATE,,2026-03-14T16:28:53Z,2026-03-14T16:28:53Z,https://www.twitch.tv/videos/2722223193,https://static-cdn.jtvnw.net/cf_vods/d1m7jfoe9zdc1j/c90d9de7280f1181f7a0_classictetris_318150256857_1773505729//thumb/thumb1-%{width}x%{height}.jpg,public,4103,en,archive,9h16m25s,
2721571324,318199817050,131454884,classictetris,ClassicTetris,CTWC PHOENIX 2026 REGIONAL DAY 1 | SIDE EVENTS | !MATCHERINO !DONATE,,2026-03-13T21:50:42Z,2026-03-13T21:50:42Z,https://www.twitch.tv/videos/2721571324,https://static-cdn.jtvnw.net/cf_vods/d1m7jfoe9zdc1j/490e6f8a1b632119d221_classictetris_318199817050_1773438638//thumb/thumb0-%{width}x%{height}.jpg,public,1249,en,archive,3h9m29s,
2719900057,318166669658,131454884,classictetris,ClassicTetris,SQUARE UP VOL. 2 EPISODE 1 | HOSTED BY IANKEITH,,2026-03-11T21:56:02Z,2026-03-11T21:56:02Z,https://www.twitch.tv/videos/2719900057,https://static-cdn.jtvnw.net/cf_vods/d1m7jfoe9zdc1j/86fa60a59b5caef677d0_classictetris_318166669658_1773266138//thumb/thumb1-%{width}x%{height}.jpg,public,904,en,archive,3h33m26s,
2718267699,318068095833,131454884,classictetris,ClassicTetris,MONDAY NIGHT MAYHEM VOL. 2 EPISODE 71 | HOSTED BY COLIN,,2026-03-09T22:01:20Z,2026-03-09T22:01:20Z,https://www.twitch.tv/videos/2718267699,https://static-cdn.jtvnw.net/cf_vods/d1m7jfoe9zdc1j/8eeb492d9587e16b51e3_classictetris_318068095833_1773093675//thumb/thumb1-%{width}x%{height}.jpg,public,1414,en,archive,4h25m29s,
2715682655,318007540441,131454884,classictetris,ClassicTetris,FRIDAY NIGHT FIGHTS VOL. 2 EPISODE 61 | HOSTED BY KINGSMAN,,2026-03-06T23:40:21Z,2026-03-06T23:40:21Z,https://www.twitch.tv/videos/2715682655,https://static-cdn.jtvnw.net/cf_vods/d1m7jfoe9zdc1j/e4e23240dbe81093ddd9_classictetris_318007540441_1772840416//thumb/thumb1-%{width}x%{height}.jpg,public,1692,en,archive,4h1m54s,
2712331151,317508052316,131454884,classictetris,ClassicTetris,MONDAY NIGHT MAYHEM VOL. 2 EPISODE 70 | HOSTED BY OMENVOIR,,2026-03-03T01:03:40Z,2026-03-03T01:03:40Z,https://www.twitch.tv/videos/2712331151,https://static-cdn.jtvnw.net/cf_vods/d2vi6trrdongqn/5c66c198e3cb8db7914e_classictetris_317508052316_1772499815//thumb/thumb0-%{width}x%{height}.jpg,public,1609,en,archive,3h58m34s,
2710790062,,131454884,classictetris,ClassicTetris,2026 CTWC Austria Regional - Qualifying Session 5,,2026-03-01T06:43:19Z,2026-03-01T06:43:19Z,https://www.twitch.tv/videos/2710790062,https://static-cdn.jtvnw.net/cf_vods/d1m7jfoe9zdc1j/498d62fc851ac3db6f21_classictetris_50983975148_7923896674//thumb/thumb2710790062-%{width}x%{height}.jpg,public,13,en,highlight,1h11m0s,
2709946617,318075365595,131454884,classictetris,ClassicTetris,CTWC AUSTRIA 2026 REGIONAL DAY 2 | !MATCHERINO !BRACKET !QUAL !DONATE,,2026-02-28T11:27:40Z,2026-02-28T11:27:40Z,https://www.twitch.tv/videos/2709946617,https://static-cdn.jtvnw.net/cf_vods/d1m7jfoe9zdc1j/f70b840e880b10ead7e6_classictetris_318075365595_1772278055//thumb/thumb0-%{width}x%{height}.jpg,public,7153,en,archive,11h29m46s,
2709538340,,131454884,classictetris,ClassicTetris,2026 CTWC Austria Regional - Qualifying Session 4,,2026-02-28T00:13:27Z,2026-02-28T00:13:27Z,https://www.twitch.tv/videos/2709538340,https://static-cdn.jtvnw.net/cf_vods/d1m7jfoe9zdc1j/d49ffe93062819054028_classictetris_75595335706_3879414279//thumb/thumb2709538340-%{width}x%{height}.jpg,public,19,en,highlight,1h10m17s,
2709526960,,131454884,classictetris,ClassicTetris,2026 CTWC Austria Regional - Qualifying Session 3,,2026-02-28T00:00:58Z,2026-02-28T00:00:58Z,https://www.twitch.tv/videos/2709526960,https://static-cdn.jtvnw.net/cf_vods/d1m7jfoe9zdc1j/c7cbed0e569c2effd945_classictetris_40184729051_6944147185//thumb/thumb2709526960-%{width}x%{height}.jpg,public,3,en,highlight,1h9m0s,
2709520152,,131454884,classictetris,ClassicTetris,2026 CTWC Austria Regional - Qualifying Session 2,,2026-02-27T23:53:54Z,2026-02-27T23:53:54Z,https://www.twitch.tv/videos/2709520152,https://static-cdn.jtvnw.net/cf_vods/d1m7jfoe9zdc1j/4609b9ecd570e349f008_classictetris_42958754460_1674658821//thumb/thumb2709520152-%{width}x%{height}.jpg,public,2,en,highlight,1h10m24s,
2709516499,,131454884,classictetris,ClassicTetris,2026 CTWC Austria Regional - Qualifying Session 1,,2026-02-27T23:49:15Z,2026-02-27T23:49:15Z,https://www.twitch.tv/videos/2709516499,https://static-cdn.jtvnw.net/cf_vods/d1m7jfoe9zdc1j/8a8dae8df8df47dd0f0c_classictetris_60683248057_8525744353//thumb/thumb2709516499-%{width}x%{height}.jpg,public,2,en,highlight,49m0s,
2709495753,317873633113,131454884,classictetris,ClassicTetris,FRIDAY NIGHT FIGHTS VOL. 2 EPISODE 60 | FAVE FIVE 2026 REVEALS! HOSTED BY KINGSMAN,,2026-02-27T23:23:02Z,2026-02-27T23:23:02Z,https://www.twitch.tv/videos/2709495753,https://static-cdn.jtvnw.net/cf_vods/d1m7jfoe9zdc1j/4ed694b4e1f455db2818_classictetris_317873633113_1772234577//thumb/thumb0-%{width}x%{height}.jpg,public,1795,en,archive,3h48m30s,
2709073474,317866596313,131454884,classictetris,ClassicTetris,CTWC AUSTRIA 2026 REGIONAL DAY 1 | !MATCHERINO !BRACKET !QUAL !DONATE,,2026-02-27T14:30:37Z,2026-02-27T14:30:37Z,https://www.twitch.tv/videos/2709073474,https://static-cdn.jtvnw.net/cf_vods/d1m7jfoe9zdc1j/66a50e35dccab886207b_classictetris_317866596313_1772202632//thumb/thumb0-%{width}x%{height}.jpg,public,2513,en,archive,5h24m30s,
2704036263,317761271257,131454884,classictetris,ClassicTetris,TETRIS FRIENDLIES REVOLUTION 2026 NIGHT 2 | HOSTED BY KINGSMAN,,2026-02-21T19:50:51Z,2026-02-21T19:50:51Z,https://www.twitch.tv/videos/2704036263,https://static-cdn.jtvnw.net/cf_vods/d1m7jfoe9zdc1j/2dc7b3a1d49ab2077b09_classictetris_317761271257_1771703445//thumb/thumb0-%{width}x%{height}.jpg,public,3874,en,archive,5h7m19s,
2703382418,317746611545,131454884,classictetris,ClassicTetris,TETRIS FRIENDLIES REVOLUTION 2026 NIGHT 1 - PART 2 | HOSTED BY COLIN,,2026-02-21T01:51:34Z,2026-02-21T01:51:34Z,https://www.twitch.tv/videos/2703382418,https://static-cdn.jtvnw.net/cf_vods/d1m7jfoe9zdc1j/b4553e8ecbf53f3c1393_classictetris_317746611545_1771638689//thumb/thumb0-%{width}x%{height}.jpg,public,1770,en,archive,3h25m54s,
2703256233,317743568857,131454884,classictetris,ClassicTetris,TETRIS FRIENDLIES REVOLUTION 2026 NIGHT 1 - PART 1 | HOSTED BY COLIN,,2026-02-20T23:20:12Z,2026-02-20T23:20:12Z,https://www.twitch.tv/videos/2703256233,https://static-cdn.jtvnw.net/cf_vods/d1m7jfoe9zdc1j/e77d896c0e479e2e7ea5_classictetris_317743568857_1771629607//thumb/thumb1-%{width}x%{height}.jpg,public,1579,en,archive,2h31m15s,
2699760669,317667511129,131454884,classictetris,ClassicTetris,MONDAY NIGHT MAYHEM VOL. 2 EPISODE 69 | HOSTED BY COLIN,,2026-02-16T22:55:57Z,2026-02-16T22:55:57Z,https://www.twitch.tv/videos/2699760669,https://static-cdn.jtvnw.net/cf_vods/d1m7jfoe9zdc1j/9479b9229ac260ef33b5_classictetris_317667511129_1771282551//thumb/thumb1-%{width}x%{height}.jpg,public,1905,en,archive,4h37m26s,
2697759668,317847904475,131454884,classictetris,ClassicTetris,CTWC GENESIS X3 OPEN CHAMPIONSHIP | !MATCHERINO !BRACKET !QUAL !DONATE,,2026-02-14T18:31:25Z,2026-02-14T18:31:25Z,https://www.twitch.tv/videos/2697759668,https://static-cdn.jtvnw.net/cf_vods/d1m7jfoe9zdc1j/b4ef1a348e9eb4c4dc60_classictetris_317847904475_1771093881//thumb/thumb0-%{width}x%{height}.jpg,public,8350,en,archive,11h0m30s,
2696825978,317683530714,131454884,classictetris,ClassicTetris,CTWC GENESIS X3 DAS CHAMPIONSHIP | !MATCHERINO !BRACKET !QUAL !DONATE,,2026-02-13T18:26:39Z,2026-02-13T18:26:39Z,https://www.twitch.tv/videos/2696825978,https://static-cdn.jtvnw.net/cf_vods/d1m7jfoe9zdc1j/ec06d41b4ef57ae1ab71_classictetris_317683530714_1771007194//thumb/thumb0-%{width}x%{height}.jpg,public,6248,en,archive,9h59m7s,
